,KH2PO4,NH4Cl,KCl,MgSO4*7H2O,ZnSO4·7H2O,H3BO3,MnCl2·4H2O,FeSO4·7H2O,CoCl2·6H2O,CuSO4·5H20,Na2MoO4·2H2O,Na4EDTA,biotin,pyridoxine,thiamine,riboflavin,para-aminobenzoic acid,nicotinic acid,Malate Titer (g/L),DCW (g/L)
2c,0.894846,1.100198,0.104923,0.506559,0.248216,0.132975,0.295962,0.221188,0.263114,0.070177,0.076708,1.67308,0.006048,0.003303,0.005809,0.04381,0.005576,0.005797,9.19,16.4
2c,0.894846,1.100198,0.104923,0.506559,0.248216,0.132975,0.295962,0.221188,0.263114,0.070177,0.076708,1.67308,0.006048,0.003303,0.005809,0.04381,0.005576,0.005797,9.14,16.9
2c,0.894846,1.100198,0.104923,0.506559,0.248216,0.132975,0.295962,0.221188,0.263114,0.070177,0.076708,1.67308,0.006048,0.003303,0.005809,0.04381,0.005576,0.005797,9.06,16.9
3c,0.635128,1.160442,1.036307,0.495889,0.291773,0.121539,0.42809,0.145395,0.250179,0.412893,0.047291,1.395122,0.003902,0.001668,0.005222,0.049524,0.008305,0.006198,0.76,2.3
3c,0.635128,1.160442,1.036307,0.495889,0.291773,0.121539,0.42809,0.145395,0.250179,0.412893,0.047291,1.395122,0.003902,0.001668,0.005222,0.049524,0.008305,0.006198,0.95,2.8
3c,0.635128,1.160442,1.036307,0.495889,0.291773,0.121539,0.42809,0.145395,0.250179,0.412893,0.047291,1.395122,0.003902,0.001668,0.005222,0.049524,0.008305,0.006198,1.26,3.2
4c,1.135975,1.223237,0.954036,0.607179,0.066678,0.062673,0.205135,0.097682,0.153687,0.274961,0.007577,1.779558,0.006516,0.005693,0.005959,0.026943,0.008658,0.006775,8.21,15.9
4c,1.135975,1.223237,0.954036,0.607179,0.066678,0.062673,0.205135,0.097682,0.153687,0.274961,0.007577,1.779558,0.006516,0.005693,0.005959,0.026943,0.008658,0.006775,8.12,16.0
4c,1.135975,1.223237,0.954036,0.607179,0.066678,0.062673,0.205135,0.097682,0.153687,0.274961,0.007577,1.779558,0.006516,0.005693,0.005959,0.026943,0.008658,0.006775,8.16,15.9
5c,0.863448,1.277408,0.200085,0.828237,0.12976,0.050816,0.3075,0.293988,0.26847,0.460747,0.037056,1.2963,0.004415,0.007491,0.00289,0.06381,0.009533,0.009676,0.0,0.9
